type, threadCount, insertCount, time
ConcurrentQueue,12,10000,0.0242209
LockCoupling,12,10000,0.040067
ConcurrentList,12,10000,0.018625
ConcurrentHashTable,12,10000,0.00251603
ConcurrentQueue,12,20000,0.046669
LockCoupling,12,20000,0.0719662
ConcurrentList,12,20000,0.0360999
ConcurrentHashTable,12,20000,0.00313997
ConcurrentQueue,12,30000,0.0678251
LockCoupling,12,30000,0.107403
ConcurrentList,12,30000,0.0548949
ConcurrentHashTable,12,30000,0.00479412
ConcurrentQueue,12,40000,0.0907631
LockCoupling,12,40000,0.143507
ConcurrentList,12,40000,0.072614
ConcurrentHashTable,12,40000,0.00625896
ConcurrentQueue,12,50000,0.1133
LockCoupling,12,50000,0.179349
ConcurrentList,12,50000,0.0913301
ConcurrentHashTable,12,50000,0.00793695
ConcurrentQueue,12,60000,0.136299
LockCoupling,12,60000,0.21601
ConcurrentList,12,60000,0.108455
ConcurrentHashTable,12,60000,0.0094161
ConcurrentQueue,12,70000,0.158512
LockCoupling,12,70000,0.252028
ConcurrentList,12,70000,0.127831
ConcurrentHashTable,12,70000,0.011096
ConcurrentQueue,12,80000,0.181549
LockCoupling,12,80000,0.287661
ConcurrentList,12,80000,0.144815
ConcurrentHashTable,12,80000,0.0123429
ConcurrentQueue,12,90000,0.204412
LockCoupling,12,90000,0.322946
ConcurrentList,12,90000,0.163041
ConcurrentHashTable,12,90000,0.0140691
ConcurrentQueue,12,100000,0.228764
LockCoupling,12,100000,0.360578
ConcurrentList,12,100000,0.180551
ConcurrentHashTable,12,100000,0.0151381
ConcurrentQueue,12,110000,0.251094
LockCoupling,12,110000,0.396676
ConcurrentList,12,110000,0.199071
ConcurrentHashTable,12,110000,0.016341
ConcurrentQueue,12,120000,0.272928
LockCoupling,12,120000,0.430542
ConcurrentList,12,120000,0.216809
ConcurrentHashTable,12,120000,0.0177431
ConcurrentQueue,48,10000,0.0955009
LockCoupling,48,10000,0.145004
ConcurrentList,48,10000,0.0719702
ConcurrentHashTable,48,10000,0.00750899
ConcurrentQueue,48,20000,0.185804
LockCoupling,48,20000,0.284645
ConcurrentList,48,20000,0.142373
ConcurrentHashTable,48,20000,0.0148058
ConcurrentQueue,48,30000,0.274841
LockCoupling,48,30000,0.426362
ConcurrentList,48,30000,0.213377
ConcurrentHashTable,48,30000,0.0200989
ConcurrentQueue,48,40000,0.373381
LockCoupling,48,40000,0.565697
ConcurrentList,48,40000,0.283824
ConcurrentHashTable,48,40000,0.0265388
ConcurrentQueue,48,50000,0.468923
LockCoupling,48,50000,0.702345
ConcurrentList,48,50000,0.357494
ConcurrentHashTable,48,50000,0.032454
ConcurrentQueue,48,60000,0.562924
LockCoupling,48,60000,0.846115
ConcurrentList,48,60000,0.422838
ConcurrentHashTable,48,60000,0.0390849
ConcurrentQueue,48,70000,0.659882
LockCoupling,48,70000,0.986797
ConcurrentList,48,70000,0.495674
ConcurrentHashTable,48,70000,0.0413461
ConcurrentQueue,48,80000,0.741474
LockCoupling,48,80000,1.12919
ConcurrentList,48,80000,0.557466
ConcurrentHashTable,48,80000,0.049921
ConcurrentQueue,48,90000,0.840744
LockCoupling,48,90000,1.29683
ConcurrentList,48,90000,0.617981
ConcurrentHashTable,48,90000,0.051286
ConcurrentQueue,48,100000,0.931422
LockCoupling,48,100000,1.43532
ConcurrentList,48,100000,0.702815
ConcurrentHashTable,48,100000,0.05707
ConcurrentQueue,48,110000,1.02594
LockCoupling,48,110000,1.58164
ConcurrentList,48,110000,0.766484
ConcurrentHashTable,48,110000,0.0624709
ConcurrentQueue,48,120000,1.12335
LockCoupling,48,120000,1.74075
ConcurrentList,48,120000,0.840784
ConcurrentHashTable,48,120000,0.0673881
ConcurrentQueue,48,130000,1.21449
LockCoupling,48,130000,1.86865
ConcurrentList,48,130000,0.905851
ConcurrentHashTable,48,130000,0.072897
ConcurrentQueue,48,140000,1.30518
LockCoupling,48,140000,2.03271
ConcurrentList,48,140000,0.972634
ConcurrentHashTable,48,140000,0.0790501
ConcurrentQueue,48,150000,1.40242
