type, threadCount, insertCount, time, threshold
LockCounter,1,1000000,0.020901,0
ApproximateCounter,1,1000000,0.0231359,1024
LockCounter,2,2000000,0.119399,0
ApproximateCounter,2,2000000,0.160467,1024
LockCounter,3,3000000,0.145297,0
ApproximateCounter,3,3000000,0.177095,1024
LockCounter,4,4000000,0.248317,0
ApproximateCounter,4,4000000,0.221592,1024
LockCounter,5,5000000,0.325475,0
ApproximateCounter,5,5000000,0.270383,1024
LockCounter,6,6000000,0.43899,0
ApproximateCounter,6,6000000,0.317517,1024
LockCounter,7,7000000,0.582862,0
ApproximateCounter,7,7000000,0.342831,1024
LockCounter,8,8000000,0.68457,0
ApproximateCounter,8,8000000,0.344178,1024
LockCounter,9,9000000,0.827785,0
ApproximateCounter,9,9000000,0.358186,1024
LockCounter,10,10000000,0.939951,0
ApproximateCounter,10,10000000,0.398605,1024
LockCounter,11,11000000,1.0108,0
ApproximateCounter,11,11000000,0.400758,1024
LockCounter,12,12000000,1.09906,0
ApproximateCounter,12,12000000,0.434227,1024
LockCounter,13,13000000,1.19532,0
ApproximateCounter,13,13000000,0.405283,1024
LockCounter,14,14000000,1.26653,0
ApproximateCounter,14,14000000,0.43731,1024
LockCounter,15,15000000,1.3582,0
ApproximateCounter,15,15000000,0.457153,1024
LockCounter,16,16000000,1.44139,0
ApproximateCounter,16,16000000,0.495925,1024
LockCounter,17,17000000,1.52971,0
ApproximateCounter,17,17000000,0.536079,1024
LockCounter,18,18000000,1.61675,0
ApproximateCounter,18,18000000,0.542367,1024
LockCounter,19,19000000,1.70215,0
ApproximateCounter,19,19000000,0.530725,1024
LockCounter,20,20000000,1.79207,0
ApproximateCounter,20,20000000,0.547427,1024
LockCounter,21,21000000,1.87521,0
ApproximateCounter,21,21000000,0.566125,1024
LockCounter,22,22000000,1.96693,0
ApproximateCounter,22,22000000,0.615714,1024
LockCounter,23,23000000,2.04723,0
ApproximateCounter,23,23000000,0.586108,1024
LockCounter,24,24000000,2.14007,0
ApproximateCounter,24,24000000,0.58101,1024
LockCounter,25,25000000,2.22522,0
ApproximateCounter,25,25000000,0.611732,1024
LockCounter,26,26000000,2.3141,0
ApproximateCounter,26,26000000,0.605999,1024
LockCounter,27,27000000,2.402,0
ApproximateCounter,27,27000000,0.639038,1024
LockCounter,28,28000000,2.49147,0
ApproximateCounter,28,28000000,0.640942,1024
LockCounter,29,29000000,2.58751,0
ApproximateCounter,29,29000000,0.627847,1024
LockCounter,30,30000000,2.6757,0
ApproximateCounter,30,30000000,0.635433,1024
LockCounter,31,31000000,2.76204,0
ApproximateCounter,31,31000000,0.669357,1024
LockCounter,32,32000000,2.85913,0
ApproximateCounter,32,32000000,0.707589,1024
LockCounter,33,33000000,2.94507,0
ApproximateCounter,33,33000000,0.690293,1024
LockCounter,34,34000000,3.02832,0
ApproximateCounter,34,34000000,0.714771,1024
LockCounter,35,35000000,3.12768,0
ApproximateCounter,35,35000000,0.694465,1024
LockCounter,36,36000000,3.21797,0
ApproximateCounter,36,36000000,0.744308,1024
LockCounter,37,37000000,3.30636,0
ApproximateCounter,37,37000000,0.754484,1024
LockCounter,38,38000000,3.38664,0
ApproximateCounter,38,38000000,0.745828,1024
LockCounter,39,39000000,3.48232,0
ApproximateCounter,39,39000000,0.75184,1024
LockCounter,40,40000000,3.57858,0
ApproximateCounter,40,40000000,0.741253,1024
LockCounter,41,41000000,3.66431,0
ApproximateCounter,41,41000000,0.770876,1024
LockCounter,42,42000000,3.75371,0
ApproximateCounter,42,42000000,0.792089,1024
LockCounter,43,43000000,3.84168,0
ApproximateCounter,43,43000000,0.788736,1024
LockCounter,44,44000000,3.92349,0
ApproximateCounter,44,44000000,0.782635,1024
LockCounter,45,45000000,4.02318,0
ApproximateCounter,45,45000000,0.80423,1024
LockCounter,46,46000000,4.1104,0
ApproximateCounter,46,46000000,0.794703,1024
LockCounter,47,47000000,4.20427,0
ApproximateCounter,47,47000000,0.864209,1024
LockCounter,48,48000000,4.29077,0
ApproximateCounter,48,48000000,0.844639,1024
LockCounter,1,1000000,0.020623,0
ApproximateCounter,1,1000000,0.0227401,1024
LockCounter,2,2000000,0.114272,0
ApproximateCounter,2,2000000,0.159413,1024
LockCounter,3,3000000,0.152278,0
ApproximateCounter,3,3000000,0.174209,1024
LockCounter,4,4000000,0.240221,0
ApproximateCounter,4,4000000,0.22289,1024
LockCounter,5,5000000,0.3255,0
ApproximateCounter,5,5000000,0.272179,1024
LockCounter,6,6000000,0.437915,0
ApproximateCounter,6,6000000,0.286241,1024
LockCounter,7,7000000,0.567369,0
ApproximateCounter,7,7000000,0.325903,1024
LockCounter,8,8000000,0.696986,0
ApproximateCounter,8,8000000,0.349848,1024
LockCounter,9,9000000,0.811233,0
ApproximateCounter,9,9000000,0.385364,1024
LockCounter,10,10000000,0.916094,0
ApproximateCounter,10,10000000,0.37894,1024
LockCounter,11,11000000,0.996395,0
ApproximateCounter,11,11000000,0.403138,1024
LockCounter,12,12000000,1.08392,0
ApproximateCounter,12,12000000,0.414682,1024
LockCounter,13,13000000,1.17663,0
ApproximateCounter,13,13000000,0.432063,1024
LockCounter,14,14000000,1.26576,0
ApproximateCounter,14,14000000,0.448992,1024
LockCounter,15,15000000,1.35149,0
ApproximateCounter,15,15000000,0.478461,1024
LockCounter,16,16000000,1.44146,0
ApproximateCounter,16,16000000,0.442118,1024
LockCounter,17,17000000,1.53163,0
ApproximateCounter,17,17000000,0.516879,1024
LockCounter,18,18000000,1.62189,0
ApproximateCounter,18,18000000,0.492356,1024
LockCounter,19,19000000,1.70684,0
ApproximateCounter,19,19000000,0.524156,1024
LockCounter,20,20000000,1.79169,0
ApproximateCounter,20,20000000,0.538194,1024
LockCounter,21,21000000,1.8746,0
ApproximateCounter,21,21000000,0.567341,1024
LockCounter,22,22000000,1.96309,0
ApproximateCounter,22,22000000,0.539499,1024
LockCounter,23,23000000,2.04666,0
ApproximateCounter,23,23000000,0.577721,1024
LockCounter,24,24000000,2.14087,0
ApproximateCounter,24,24000000,0.567099,1024
LockCounter,25,25000000,2.22879,0
ApproximateCounter,25,25000000,0.623171,1024
LockCounter,26,26000000,2.31352,0
ApproximateCounter,26,26000000,0.631315,1024
LockCounter,27,27000000,2.40619,0
ApproximateCounter,27,27000000,0.650669,1024
LockCounter,28,28000000,2.49877,0
ApproximateCounter,28,28000000,0.655481,1024
LockCounter,29,29000000,2.58269,0
ApproximateCounter,29,29000000,0.633024,1024
LockCounter,30,30000000,2.67274,0
ApproximateCounter,30,30000000,0.659539,1024
LockCounter,31,31000000,2.76579,0
ApproximateCounter,31,31000000,0.691703,1024
LockCounter,32,32000000,2.85781,0
ApproximateCounter,32,32000000,0.685206,1024
LockCounter,33,33000000,2.94099,0
ApproximateCounter,33,33000000,0.66296,1024
LockCounter,34,34000000,3.04221,0
ApproximateCounter,34,34000000,0.708295,1024
LockCounter,35,35000000,3.13037,0
ApproximateCounter,35,35000000,0.701627,1024
