type,threadCount,insertCount,time,treshold
LockCounter,1,1000000,0.020756,0
LockCounter,2,2000000,0.114493,0
LockCounter,3,3000000,0.132279,0
LockCounter,4,4000000,0.223684,0
LockCounter,5,5000000,0.32622,0
LockCounter,6,6000000,0.437764,0
LockCounter,7,7000000,0.551795,0
LockCounter,8,8000000,0.675188,0
LockCounter,9,9000000,0.797337,0
LockCounter,10,10000000,0.908949,0
LockCounter,11,11000000,0.980493,0
LockCounter,12,12000000,1.07954,0
LockCounter,13,13000000,1.17363,0
LockCounter,14,14000000,1.26066,0
LockCounter,15,15000000,1.34829,0
LockCounter,16,16000000,1.43982,0
LockCounter,17,17000000,1.52242,0
LockCounter,18,18000000,1.60894,0
LockCounter,19,19000000,1.69854,0
LockCounter,20,20000000,1.78492,0
LockCounter,21,21000000,1.87204,0
LockCounter,22,22000000,1.95246,0
LockCounter,23,23000000,2.0351,0
LockCounter,24,24000000,2.1236,0
LockCounter,25,25000000,2.21034,0
LockCounter,26,26000000,2.29695,0
LockCounter,27,27000000,2.39119,0
LockCounter,28,28000000,2.47793,0
LockCounter,29,29000000,2.57421,0
LockCounter,30,30000000,2.65718,0
LockCounter,31,31000000,2.7431,0
LockCounter,32,32000000,2.82711,0
LockCounter,33,33000000,2.91752,0
LockCounter,34,34000000,3.01123,0
LockCounter,35,35000000,3.09914,0
LockCounter,36,36000000,3.18629,0
LockCounter,37,37000000,3.2699,0
LockCounter,38,38000000,3.3639,0
LockCounter,39,39000000,3.45265,0
LockCounter,40,40000000,3.53823,0
LockCounter,41,41000000,3.62717,0
LockCounter,42,42000000,3.72025,0
LockCounter,43,43000000,3.80294,0
LockCounter,44,44000000,3.89563,0
LockCounter,45,45000000,3.97726,0
LockCounter,46,46000000,4.07284,0
LockCounter,47,47000000,4.16043,0
LockCounter,48,48000000,4.24992,0
ApproximateCounter,1,1000000,0.022893,1024
ApproximateCounter,2,2000000,0.172184,1024
ApproximateCounter,3,3000000,0.184156,1024
ApproximateCounter,4,4000000,0.228146,1024
ApproximateCounter,5,5000000,0.278491,1024
ApproximateCounter,6,6000000,0.292887,1024
ApproximateCounter,7,7000000,0.335905,1024
ApproximateCounter,8,8000000,0.354998,1024
ApproximateCounter,9,9000000,0.363736,1024
ApproximateCounter,10,10000000,0.367584,1024
ApproximateCounter,11,11000000,0.384996,1024
ApproximateCounter,12,12000000,0.396113,1024
ApproximateCounter,13,13000000,0.415017,1024
ApproximateCounter,14,14000000,0.420702,1024
ApproximateCounter,15,15000000,0.441944,1024
ApproximateCounter,16,16000000,0.45149,1024
ApproximateCounter,17,17000000,0.492388,1024
ApproximateCounter,18,18000000,0.475192,1024
ApproximateCounter,19,19000000,0.505096,1024
ApproximateCounter,20,20000000,0.537659,1024
ApproximateCounter,21,21000000,0.496032,1024
ApproximateCounter,22,22000000,0.538336,1024
ApproximateCounter,23,23000000,0.576019,1024
ApproximateCounter,24,24000000,0.579976,1024
ApproximateCounter,25,25000000,0.581246,1024
ApproximateCounter,26,26000000,0.580023,1024
ApproximateCounter,27,27000000,0.609124,1024
ApproximateCounter,28,28000000,0.621592,1024
ApproximateCounter,29,29000000,0.599777,1024
ApproximateCounter,30,30000000,0.622831,1024
ApproximateCounter,31,31000000,0.629074,1024
ApproximateCounter,32,32000000,0.619597,1024
ApproximateCounter,33,33000000,0.642442,1024
ApproximateCounter,34,34000000,0.666238,1024
ApproximateCounter,35,35000000,0.641762,1024
ApproximateCounter,36,36000000,0.66481,1024
ApproximateCounter,37,37000000,0.667441,1024
ApproximateCounter,38,38000000,0.67532,1024
ApproximateCounter,39,39000000,0.662185,1024
ApproximateCounter,40,40000000,0.666167,1024
ApproximateCounter,41,41000000,0.64492,1024
ApproximateCounter,42,42000000,0.687593,1024
ApproximateCounter,43,43000000,0.70103,1024
ApproximateCounter,44,44000000,0.682332,1024
