type,threadCount,insertCount,time,treshold
LockCounter,1,1000000,0.020721,0
LockCounter,2,2000000,0.101626,0
LockCounter,3,3000000,0.138229,0
LockCounter,4,4000000,0.210414,0
LockCounter,5,5000000,0.316576,0
LockCounter,6,6000000,0.415902,0
LockCounter,7,7000000,0.544082,0
LockCounter,8,8000000,0.702074,0
LockCounter,9,9000000,0.826508,0
LockCounter,10,10000000,0.878272,0
LockCounter,11,11000000,0.974677,0
LockCounter,12,12000000,1.06091,0
ApproximateCounter,1,1000000,0.0228238,1024
ApproximateCounter,2,2000000,0.170727,1024
ApproximateCounter,3,3000000,0.253572,1024
ApproximateCounter,4,4000000,0.308821,1024
ApproximateCounter,5,5000000,0.323597,1024
ApproximateCounter,6,6000000,0.328713,1024
ApproximateCounter,7,7000000,0.367957,1024
ApproximateCounter,8,8000000,0.375762,1024
ApproximateCounter,9,9000000,0.396347,1024
ApproximateCounter,10,10000000,0.416475,1024
ApproximateCounter,11,11000000,0.412602,1024
ApproximateCounter,12,12000000,0.443339,1024
ApproximateCounter,12,12000000,1.31741,2
ApproximateCounter,12,12000000,0.904767,4
ApproximateCounter,12,12000000,0.631972,8
ApproximateCounter,12,12000000,0.483795,16
ApproximateCounter,12,12000000,0.457011,32
ApproximateCounter,12,12000000,0.447096,64
ApproximateCounter,12,12000000,0.442484,128
ApproximateCounter,12,12000000,0.420737,256
ApproximateCounter,12,12000000,0.447872,512
ApproximateCounter,12,12000000,0.447749,1024
ApproximateCounter,12,12000000,0.448768,2048
ApproximateCounter,12,12000000,0.450678,4096
ApproximateCounter,12,12000000,0.443179,8192
ApproximateCounter,12,12000000,0.444427,16384
ApproximateCounter,12,12000000,0.451696,32768
ApproximateCounter,12,12000000,0.42866,65536
ApproximateCounter,12,12000000,0.446096,131072
ApproximateCounter,12,12000000,0.437853,262144
ApproximateCounter,12,12000000,0.444087,524288
ApproximateCounter,12,12000000,0.443201,1048576
ApproximateCounter,12,12000000,0.436778,2097152
ApproximateCounter,12,12000000,0.444554,4194304
ApproximateCounter,12,12000000,0.442791,8388608
ApproximateCounter,12,12000000,0.438556,16777216
ApproximateCounter,12,12000000,0.443684,33554432
ApproximateCounter,12,12000000,0.445436,67108864
ApproximateCounter,12,12000000,0.444326,134217728
ApproximateCounter,12,12000000,0.419155,268435456
ApproximateCounter,12,12000000,0.437753,536870912
ApproximateCounter,12,12000000,0.437902,1073741824
ConcurrentQueue,12,1000000,0.212249,0
ConcurrentQueue,12,2000000,0.389975,0
ConcurrentQueue,12,3000000,0.56655,0
ConcurrentQueue,12,4000000,0.751137,0
ConcurrentQueue,12,5000000,0.941765,0
ConcurrentQueue,12,6000000,1.11266,0
ConcurrentQueue,12,7000000,1.30177,0
ConcurrentQueue,12,8000000,1.49126,0
ConcurrentQueue,12,9000000,1.66483,0
ConcurrentQueue,12,10000000,1.85775,0
ConcurrentQueue,12,11000000,2.04301,0
ConcurrentQueue,12,12000000,2.21141,0
ConcurrentHashTable,12,1000000,0.0134001,0
ConcurrentHashTable,12,2000000,0.029336,0
ConcurrentHashTable,12,3000000,0.0480568,0
ConcurrentHashTable,12,4000000,0.0636649,0
ConcurrentHashTable,12,5000000,0.0799179,0
ConcurrentHashTable,12,6000000,0.099129,0
ConcurrentHashTable,12,7000000,0.115892,0
ConcurrentHashTable,12,8000000,0.130008,0
ConcurrentHashTable,12,9000000,0.15433,0
